chapter_designation,chapter_location,chapter_founding
Alpha,"Virginia Military Institute",1869
Beta,"University of Virginia",1871
Gamma,"Duke University",1871
Mu,"University of Georgia",1873
Delta,"University of South Carolina",1874
Theta,"The University of Alabama",1874
Iota,"Samford University",1879
Kappa,"North Georgia College & State University",1881
Lambda,"Washington and Lee University",1882
Epsilon,"Bethany College",1883
Zeta,"Central College",1883
Eta,"Mercer University",1884
Nu,"University of Kansas",1884
Omicron,"Bethel College",1884
Xi,"Emory University",1884
Pi,"Lehigh University",1885
Rho,"University of Missouri",1886
Sigma,"Vanderbilt University",1886
Tau,"The Citadel",1886
Upsilon,"University of Texas at Austin",1886
Phi,"Louisiana State University",1887
Beta Phi,"Tulane University",1888
Chi,"Cornell College",1888
Psi,"University of North Carolina at Chapel Hill",1888
Beta Alpha,"Yale University",1889
Beta Omicron,"Sewanee: The University of the South",1889
Beta Beta,"DePauw University",1890
Beta Theta,"Auburn University",1890
Beta Chi,"Stanford University",1891
Beta Delta,"Drake University",1891
Beta Epsilon,"Coe College",1891
Beta Gamma,"Missouri Valley College",1891
Beta Nu,"The Ohio State University",1891
Beta Zeta,"Purdue University",1891
Delta Theta,"Knox College",1891
Beta Eta,"Indiana University",1892
Beta Iota,"University of Mount Union",1892
Beta Kappa,"Kansas State University",1892
Beta Lambda,"Central Methodist College",1892
Beta Psi,"University of California, Berkeley",1892
Beta Mu,"University of Iowa",1893
Beta Rho,"University of Pennsylvania",1894
Beta Xi,"William Jewell College",1894
Beta Pi,"University of Chicago",1895
Beta Tau,"North Carolina State University",1895
Beta Upsilon,"Rose-Hulman Institute of Technology",1895
Gamma Gamma,"Albion College",1895
Gamma Alpha,"Georgia Institute of Technology",1896
Gamma Chi,"University of Washington",1896
Beta Sigma,"University of Vermont",1898
Gamma Beta,"Northwestern University",1898
Gamma Delta,"Stevens Institute of Technology",1900
Gamma Epsilon,"Lafayette College",1900
Gamma Zeta,"University of Oregon",1900
Gamma Eta,"Colorado School of Mines",1901
Gamma Theta,"Cornell University",1901
Gamma Iota,"University of Kentucky",1902
Gamma Kappa,"University of Colorado at Boulder",1902
Gamma Lambda,"University of Wisconsin-Madison",1902
Gamma Mu,"University of Illinois at Urbana-Champaign",1902
Gamma Nu,"University of Michigan",1902
Gamma Omicron,"Washington University in St. Louis",1903
Gamma Xi,"Missouri University of Science and Technology",1903
Gamma Pi,"West Virginia University",1904
Gamma Rho,"University of Chicago",1904
Gamma Sigma,"Iowa State University",1904
Gamma Tau,"University of Minnesota",1904
Gamma Upsilon,"University of Arkansas",1904
Gamma Phi,"University of Montana",1905
Gamma Psi,"Syracuse University",1906
Delta Alpha,"Case Western Reserve University",1907
Delta Beta,"Dartmouth College",1907
Delta Gamma,"Columbia University in the City of New York",1908
Delta Delta,"Pennsylvania State University",1909
Delta Epsilon,"University of Oklahoma",1909
Delta Eta,"University of Nebraska-Lincoln",1909
Delta Zeta,"Western Reserve University",1909
Delta Iota,"Washington State University",1910
Delta Kappa,"University of Delaware",1911
Delta Lambda,"Brown University",1912
Delta Mu,"Stetson University",1913
Delta Nu,"University of Maine",1913
Delta Xi,"University of Nevada, Reno",1914
Delta Omicron,"University of Idaho",1915
Delta Pi,"The George Washington University",1915
Delta Rho,"Colorado State University",1915
Delta Sigma,"Carnegie Mellon University",1916
Delta Phi,"University of Maryland",1917
Delta Tau,"Oregon State University",1917
Delta Upsilon,"Colgate University",1917
Delta Chi,"Trinity College",1918
Delta Psi,"Bowdoin College",1918
Epsilon Alpha,"University of Arizona",1918
Epsilon Beta,"Drury University",1919
Epsilon Delta,"University of Wyoming",1920
Epsilon Epsilon,"Oklahoma State University - Stillwater",1920
Epsilon Gamma,"Wesleyan University",1920
Epsilon Zeta,"University of Florida",1920
Epsilon Eta,"University of Tennessee",1921
Epsilon Iota,"College of William & Mary",1922
Epsilon Theta,"Massachusetts Institute of Technology",1922
Epsilon Kappa,"University of North Dakota",1923
Epsilon Lambda,"University of Utah",1924
Epsilon Mu,"Butler University",1926
Epsilon Nu,"Miami University",1927
Epsilon Xi,"University of Mississippi",1927
Epsilon Omicron,"University of Southern California",1930
Epsilon Pi,"University of California, Los Angeles",1930
Epsilon Rho,"Michigan State University",1934
Epsilon Sigma,"Rhodes College",1934
Epsilon Tau,"Rollins College",1938
Epsilon Upsilon,"Utah State University",1938
Epsilon Phi,"University of Connecticut",1943
Epsilon Chi,"Bowling Green State University",1946
Epsilon Psi,"Westminster College",1947
Zeta Alpha,"University of Puget Sound",1948
Zeta Beta,"University of Miami",1948
Zeta Delta,"University of Toronto",1949
Zeta Epsilon,"Norwich University",1949
